zaban	lafz	aeraab	aap_ka_maani	un_ka_maani	faisla
فارسی	فاس	—	Fez (the capital city of the region of Fez-Meknes, Morocco)	Fez (the capital city of the region of Fez-Meknes, Morocco)	ملتا ہے
فارسی	امام	—	imam	imam	ملتا ہے
فارسی	مؤذن	—	muezzin (the person who issues the call to prayer from one o	muezzin (the person who issues the call to prayer from one o	ملتا ہے
فارسی	ملا	—	met; got; was found (m.)	mullah	⚠ ٹکراؤ
فارسی	زبان	—	language; tongue	tongue (body part)	ملتا ہے
فارسی	اسلام	—	Islam	Islam	ملتا ہے
فارسی	مزاج	—	humor; temperament	temperament; temper; nature	ملتا ہے
فارسی	حسن	—	beauty	goodness, pleasingness; (with the ezâfe) proper, good	⚠ ٹکراؤ
فارسی	چراغ	—	lamp	lamp	ملتا ہے
فارسی	شمس	—	sun	sun	ملتا ہے
فارسی	مصر	—	Egypt (a country in North Africa and West Asia); cities sout	Egypt (a country in North Africa and West Asia)	ملتا ہے
فارسی	مسجد	—	mosque	mosque	ملتا ہے
فارسی	حمار	—	male donkey, ass	donkey, ass	ملتا ہے
فارسی	مسلم	—	one who submits to God	indisputable, incontrovertible, certain, taken for granted	⚠ ٹکراؤ
فارسی	سلام	—	interjection used to greet or often fare adieu to someone.; 	hello, hi (a greeting when meeting someone)	ملتا ہے
فارسی	سنت	—	tradition; habit; custom	tradition	ملتا ہے
فارسی	اردو	—	the Urdu language; Rekhta (the Hindustani language); army, c	horde	⚠ ٹکراؤ
فارسی	نام	—	name	name	ملتا ہے
فارسی	اسم	—	name, appellation, designation; noun; substantive; unequal	name	ملتا ہے
فارسی	فارسی	—	Persian, Persic; Persianate; Persian (language); Hijra Farsi	Persian, Persic	ملتا ہے
فارسی	نسخ	—	abolition; annulment; recantation	abolition	ملتا ہے
فارسی	میوہ	—	dried fruit or nut	fruit	ملتا ہے
فارسی	چشم	—	eye	eye	ملتا ہے
فارسی	بنت	—	daughter	daughter	ملتا ہے
فارسی	کرنا	—	to do; to make; to cause	kerana, kernei, karnay (a long thin brass horn or trumpet)	⚠ ٹکراؤ
فارسی	مترجم	—	translator; interpreter	translator, interpreter	ملتا ہے
فارسی	واحد	—	single	individual	⚠ ٹکراؤ
فارسی	جہان	—	world; universe	world, universe	ملتا ہے
فارسی	پاد	—	fart	protection, defence	⚠ ٹکراؤ
فارسی	نان	—	naan, A type of round, flat bread baked in a tandoor popular	bread, including the kind called naan in English and any oth	ملتا ہے
فارسی	اللہ	—	Allah; God	God, Allah	ملتا ہے
فارسی	نجار	—	carpenter	carpenter	ملتا ہے
فارسی	جمال	—	beauty; grace	beauty (quality of pleasing appearance)	ملتا ہے
فارسی	شجر	—	tree	tree	ملتا ہے
