lafz	aeraab	qism	maani_en
بوق		noun	vehicle horn; klaxon
انوشه		adj	immortal
بی‌شمار		adj	uncountable
قاشق		noun	spoon
صرع		noun	epilepsy
اوج لذت جنسی		noun	orgasm
اجازه		noun	permission
گاییدنی		adj	fuckable, sexually attractive
کردنی		adj	fuckable, sexually attractive
زقاق		noun	street
ابریشم		noun	silk
گچ		noun	plaster, gypsum, chalk, stucco
آره		adv	yeah (yes)
نخیر		adv	no
عصر بخیر		intj	good afternoon
مار		noun	snake
ببخشید		intj	excuse me
طاس		noun	cup
فامیل		noun	family
تلفن		noun	telephone
دوست‌دختر		noun	girlfriend
بودا		noun	Buddha
نسر		noun	vulture
بلاگ		noun	blog
کله کیر		noun	glans penis
خوز		noun	sugarcane
رطب		noun	ripened dates
انگلیسی	اِنْگْلیسی	noun	English (language)
قاصدک		noun	dandelion
ملخ		noun	grasshopper
مادر کسده		noun	son of a bitch
کمرا		noun	vault
طلسم		noun	spell, incantation, charm
تلسکوپ		noun	telescope
یک‌شنبه		noun	Sunday
سه‌شنبه		noun	Tuesday
پنج‌شنبه		noun	Thursday
آدینه		noun	Friday
شنبه		noun	Saturday
کوچک		adj	small
سپوختن		verb	to thrust, poke, press, penetrate
غول		noun	ghoul
ازدحام		noun	crowd, rush, throng, swarm
حفظ		noun	preservation; maintenance; conservation; upholding
آناکوندا		noun	anaconda
توت		noun	mulberry (fruit)
شما		pron	you guys; you (plural)
تابستان		noun	summer
گوش دادن		verb	to listen
سنگسار		noun	stoning, lapidation
بحث کردن		verb	to discuss
ساعت		noun	hour; o’clock; (by extension) time
شنیدن		verb	to hear
فروختن		verb	to sell
رم	رَم	noun	shying, taking off from fright
برنج		noun	rice
مادربزرگ		noun	grandmother
پلو		noun	pilaf (a dish made by browning grain, typically rice, in oil and then cooking it with a seasoned broth, to which meat an
کوکو		noun	kuku, Persian-style egg dish, somewhat comparable to Italian frittata or French quiche.
آش		noun	aush (thick Persian-style soup)
قرمه سبزی		noun	ghormeh sabzi, an Iranian green herb stew
برادر		noun	brother
پدربزرگ		noun	grandfather
زانو		noun	knee
مژه		noun	eyelash
انگشت	اَنگُشت	noun	finger
مو		noun	hair
بینی		noun	nose
عمو		noun	paternal uncle
چه		pron	what?
بوسیدن		verb	to kiss
سه		num	three
مغرور		adj	proud
اسب		noun	horse
اسب آبی		noun	hippopotamus
لاغر	لاغَر	adj	skinny; thin; slender; lithe
همجنس‌باز		adj	homosexual, homophile
موش		noun	mouse; rat
گهگاه		adv	sometimes
گردو		noun	walnut
گلدان		noun	flowerpot
صورتی		adj	pink
کلاس		noun	class
سماور		noun	samovar
بانک		noun	bank
ته‌دیگ		noun	tahdig, tahdeg
دوغ		noun	buttermilk
طناب		noun	rope
همسر	هَمسَر	noun	spouse
سیم کارت		noun	SIM card
بودن		verb	to exist
تومان		noun	toman, a former unit of currency of Iran
رپ		noun	rap (music)
مجلس		noun	parliament
گوش		noun	ear
مرسی		intj	thanks
لیسیدن		verb	to lick
مشکی		adj	black
طلایی		adj	unhamzated form of طلائی (golden, gold-coloured, blond, blonde)
طلا		noun	gold (metal)
نوشتن		verb	to write
خوردن		verb	to eat
خواندن		verb	to read
اتمی		adj	atomic
زیبا		adj	beautiful
زشت		adj	ugly
دانا		adj	wise
دانستن		verb	to know (something)
قهوه‌ای	قَهْوِهای	adj	brown
ماده تاریک		noun	dark matter
ولایت فقیه		noun	“Guardianship of the Islamic Jurists”; a system of government wherein the Islamic clergy (ulema) have the ultimate say i
پول خرد		noun	change (money)
حیاط		noun	courtyard
زر		noun	gold
امشب		adv	tonight
بوس		noun	kiss
باران		noun	rain
مه		noun	fog, mist
فرهنگ‌نویسی		noun	lexicography
زنبور عسل		noun	honeybee
پایان		noun	end, conclusion
هزارپا		noun	millipede
زدن		verb	to beat, hit, strike
واژه		noun	word, vocable
چس		noun	silent fart
چس فیل		noun	popcorn
شدن		verb	to become; a light verb used in a large number of intransitive compound verbs.
فهمیدن		verb	to understand (hear correctly and know the language)
زخمی		adj	wounded
سنگینی		noun	heaviness
زورمند	زورمَند	adj	strong; powerful
صبور		adj	patient
نانوائی		noun	bakery
نانوا		noun	baker
نیلوفر آبی		noun	water lily
اهل		noun	inhabitant; native; citizen; often used as an equivalent of English "to be from"
ژاپنی	ژاپُنی	adj	Japanese
گفتن		verb	to say
داشتن		verb	to have; to possess, to own
لهستانی		noun	Polish
دکتر	دُکْتُر	noun	doctor, physician
الان		adv	unhamzated form of الآن (al'ān /al'ân, “now”)
فردا		adv	tomorrow
سرباز		noun	soldier
خواننده		noun	singer, vocalist
فرهنگی		adj	cultural
خربزه		noun	melon
دانشجو		noun	Higher education student, a university student
گول خوردن		verb	to be deceived, tricked
مردم‌سالاری		noun	democracy
ول		adj	free
بسیج		noun	preparation
ببر		noun	tiger
سیب‌زمینی	سیبزَمینی	noun	potato
اسفناج		noun	spinach
فلفل		noun	pepper (including sweet peppers, chilis as well as black pepper)
خیار		noun	cucumber
کاهو		noun	lettuce (Lactuca sativa)
کلم		noun	cabbage
هویج		noun	kitchen provision
قارچ		noun	mushroom
بامیه		noun	okra, Abelmoschus esculentus
تره		noun	garden herb in general, especially beets, spinach, cresses, leek, parsley, pot-herb
گوجه‌فرنگی	گُوْجِهفَرَنْگی	noun	tomato
گوجه		noun	plum
لیمو		noun	lemon; lime
آبلیمو		noun	lemon juice
انبه		noun	mango
آناناس		noun	pineapple
هندوانه		noun	watermelon
ریواس		noun	rhubarb
خشخاش		noun	opium poppy
دلفین		noun	dolphin
پرتقال		noun	orange
نعناع		noun	mint
عناب		noun	jujube
بنفش		adj	violet, violet-coloured
گیلاس		noun	cherry
گاز		noun	bite
قله		noun	peak (of a mountain)
سوسک		noun	cockroach; ellipsis of سوسک حمام (susk-e hammâm)
دست شما درد نکنه		intj	thank you
نوش جان	نوشِ جان!	intj	to your good health!, cheers! (before any drink including non-alcoholic ones)
مایو		noun	swimming costume, bathing suit, swimsuit
دوچرخه		noun	bicycle
آدرس		noun	address
کامپیوتر		noun	computer
رایانه		noun	computer
بامزه		adj	cute
مصرف		noun	consumption
کفش		noun	a shoe
کارت		noun	card
اتوبوس	اُتوبوس	noun	bus
عابر بانک		noun	ATM, cash machine
زشتی		noun	ugliness
ایدز		noun	AIDS
فوتبال		noun	football, soccer
شنا		noun	swimming
کرم ابریشم		noun	silkworm
کرم کتاب		noun	bookworm
اسپانیایی		adj	Spanish
اسکناس		noun	banknote, note
توله‌سگ		noun	puppy
حجاب		noun	screen
توت فرنگی		noun	strawberry
سینما		noun	cinema
چهار		num	four
کاراته		noun	karate
تنیس		noun	tennis
گلف		noun	golf (the sport)
کونگ فو		noun	kung fu
نخود		noun	chickpea
ناهار		noun	lunch
کتابخانه		noun	library
دستمال		noun	handkerchief
شیرین		adj	sweet
شیرینی		noun	sweetness
سلیقه		noun	taste
روسری		noun	headscarf, hijab
را		particle	Used to mark certain noun phrases as the direct object. Since it is obligatory for all definite direct objects, it is of
گز		noun	tamarisk (Tamarix spp.)
ثبت		noun	registration, enrollment
هتل		noun	hotel
همان		adj	that/those very
فقط		adv	only
اقتصاد		noun	economy
مالیه		noun	finance
استان		noun	province
صابون		noun	soap
کارگر		noun	worker, labourer, workman
گسترده		adj	widespread
کت		noun	coat
خرما		noun	date (fruit)
خرمالو	خُرْمالو	noun	persimmon
پاپایا		noun	papaya
آواکادو		noun	avocado
میوه اژدها		noun	pitahaya, dragon fruit
نارگیل		noun	coconut
زرشکی		adj	having the color of barberries; crimson
ازگیل		noun	medlar
گریپ فروت		noun	grapefruit
شلیل		noun	nectarine
دندان‌پزشکی		noun	dentistry
سانسور		noun	censorship
سانسور کردن		verb	to censor
سرمه‌ای		adj	navy blue
خرمایی		adj	date- coloured
ارغوان		noun	purple color; dark magenta color
نیلی		adj	indigo (color)
یشم		noun	jasper (precious stone)
یشمی		adj	jade (colour), jade-coloured
پرستو		noun	swallow (bird)
اردک		noun	duck (bird)
کلاغ		noun	crow (bird)
غاز		noun	goose (bird)
بوقلمون		noun	many-coloured damask
کشاورز		noun	farmer
هنرمند		noun	artist
مکانیک		noun	mechanic (a skilled worker in charge of maintenance or repairing machinery)
وکیل		noun	lawyer, attorney
سیاستمدار		noun	politician
ماشین		noun	car
بژ		adj	beige
چکاوک		noun	skylark, lark
طاووس		noun	peacock
بوف		noun	owl
جغد		noun	owl
قو		noun	swan
دیر		adj	late; tardy
بلوز		noun	blouse
سینه زنی		noun	ritual chest-beating
نقره		noun	silver (metal)
نقره‌ای		adj	silver (colour)
مچ		noun	joint (Any part of the body where two bones join)
دستکش		noun	glove
مامان		noun	mama
کره		noun	butter
گویش		noun	dialect; accent
عنکبوت		noun	spider
مگس		noun	fly (insect)
تساوی		noun	equality
کسب		noun	trade, business, profession
شلوار		noun	trousers, pants
نامزد		noun	candidate
پختن		verb	to cook
شکستن		verb	to break
عروسک		noun	doll
لواط		noun	male homosexual intercourse, sodomy
عرق کردن		verb	to sweat; to perspire
پوتین		noun	boot
کشتن		verb	to kill, to murder
برف آمدن		verb	to snow
آتشکده		noun	fire temple (a Zoroastrian place of worship, where fire is kindled)
راست		adj	straight
آرامش		noun	quietness; calmness; tranquility; peace, peace and quiet
اسپاگتی		noun	spaghetti (pasta)
آب میوه		noun	fruit juice
آبجو		noun	beer
پنج		num	five
شش		num	six
هفت		num	seven
مربوط	مَربوط	adj	relevant, pertinent
ویسکی		noun	whisky
کردی		adj	Kurdish
اسپانیولی		adj	Spanish (language)
کره‌ای		adj	Korean
تانک		noun	tank (military vehicle)
والله		adv	truthfully, honestly
کوشک		noun	pavilion
سیگار		noun	cigarette
هواپیما		noun	aeroplane
خباز		noun	baker
داروخانه		noun	pharmacy (a place where prescription drugs are dispensed)
زنی		noun	womanhood
سلطانه		noun	sultana (female ruler)
الکل		noun	alcohol
رانندگی		noun	driving
راندن		verb	to ride
رانندگی کردن		verb	to drive
خر		noun	donkey, ass
الاغ		noun	donkey, ass
لاک‌پشت		noun	a turtle or tortoise
سنجاب		noun	squirrel
حلزون		noun	snail
نرم‌افزار		noun	software
سخت‌افزار		noun	hardware (computing)
اسکنر		noun	scanner
چاپگر		noun	printer (computing)
آرامی		noun	calm, calmness, tranquility
موزه		noun	boot
رستوران	رِسْتوران	noun	restaurant
رادیو		noun	radio
آپارتمان	آپارْتِمان	noun	flat (UK), apartment
تمبر		noun	stamp (postage)
شیک		adj	chic
مانتو		noun	a woman’s coat or upper garment that can be worn in public without a chador (see usage note below)
پروژه		noun	project
کافه		noun	café
گاراژ		noun	garage
مبل		noun	sofa, couch
وانیل		noun	vanilla
پیتزا		noun	pizza
ترافیک		noun	traffic (congestion)
دیپلم		noun	diploma
لیسانس		noun	licence (education)
کارت پستال		noun	postcard
عاج		noun	ivory
ژاکت		noun	jacket (clothing)
زگیل		noun	wart
گوشواره		noun	earring
ژله		noun	jelly
ژامبون		noun	ham
ژن		noun	gene
ژست		noun	gesture
مولکول		noun	molecule
شیمی		noun	chemistry
خون‌شناسی		noun	haematology, hematology (US)
عصب‌شناسی		noun	neurology
عصب		noun	nerve
عصبانی		adj	angry
اسکی کردن		verb	to ski
جاسوسی		noun	espionage
زمین خوردن		verb	to fall
زندگی کردن		verb	to live
زیستن		verb	to live
زیست		noun	life
بیولوژی		noun	biology
افقی	اُفُقی	adj	horizontal
بیوشیمی		noun	biochemistry
فیلم		noun	film, movie
تلویزیون		noun	television
ترسیدن		verb	to fear, to be afraid of
ترجمه کردن		verb	to translate
دلتنگ		adj	sad
بازی کردن		verb	to play
طب سوزنی		noun	acupuncture
منفی		adj	negative; bad
مشت		noun	fist
پوسته		noun	membrane
هدهد		noun	hoopoe
جانورشناسی		noun	zoology
جانورشناس		noun	zoologist
پدیده		noun	phenomenon
شانس		noun	chance
بالکن		noun	balcony
بشکه		noun	barrel, keg
ژیمناستیک		noun	gymnastics
تاجیک		noun	Tajik, Persian
ذرت		noun	maize, corn
کراک		noun	crack (drug)
ژنرال		noun	general
ارزان		adj	cheap, inexpensive
کودتا		noun	coup d’état
آن‌ها		pron	they
ایشان		noun	ishan
شیعه		adj	Shi'a, Shi'ite
ساک		noun	sak, ash-e sak, khoreshe sak; a Persian spinach soup
کراوات		noun	tie (clothing)
اسرائیلی		adj	Israeli
فلسطینی		adj	Palestinian
سوسیس		noun	sausage (hot dog style)
مغازه		noun	shop
واکسن		noun	vaccine
کاندوم		noun	condom
آسانسور	آسانْسور	noun	lift (UK), elevator (US)
لیکور		noun	liqueur
نوشابه		noun	soft drink
نوشیدن		verb	to drink
الکلی		adj	alcoholic
واژن		noun	vagina
مهبلی		adj	vaginal
کوآلا		noun	koala
آهن		noun	iron (metal)
آرد		noun	flour
جا		noun	place
اینجا		adv	here
باغچه		noun	small garden, front garden/front yard
استخوانی		adj	bony
بز		noun	goat
پادزهر		noun	antidote
پادزهری		adj	antidotal
ماچ		noun	kiss
ماچ کردن		verb	to kiss
بورس		noun	bourse
پشم		noun	wool
پشمی		adj	woollen
پشمالو		adj	fuzzy, furry, hairy, woolly, shaggy
کچل		adj	bald
کابینه		noun	cabinet
مهتابی		adj	moonlit
دارکوب		noun	woodpecker
شکلات		noun	chocolate
توکان		noun	toucan
قاره		noun	continent
ویلا		noun	villa
مانکن		noun	mannequin
بوفه		noun	sideboard
آژان		noun	police officer
آژانس		noun	agency
آژیر		adj	alert, alarm
نایلون		noun	nylon
اورژانس		noun	emergency
صندل		noun	sandalwood
شنی		adj	sandy
شن	شِن	noun	sand
کوسن		noun	cushion
هنرپیشه		noun	actor/actress
دسر		noun	dessert
اشتباه کردن		verb	to make a mistake
بستنی	بَسْتَنی	noun	ice cream
انرژی		noun	energy
النگو		noun	bangle, bracelet without clasp
ارائه		noun	presentation
کودک		noun	child
کودکستان		noun	nursery school
شرور		adj	wicked
کمک		noun	help, aid, assistance
کمک کردن		verb	to help
ضربان		noun	pulse
گرفتن		verb	to grab
ریختن		verb	to pour; to spill; to sprinkle
ریا		noun	hypocrisy, dissimulation
رابط		noun	connector
مردمک		noun	little man
سوزن		noun	needle
خوشه		noun	bunch
حوله		noun	towel
اهریمن		noun	devil
اهریمنی		adj	Ahrimanic
دمیدن		verb	to breathe (into), to blow
آوردن		verb	to bring
رستن		verb	to escape
یافتن		verb	to acquire, find
دیدن		verb	to see, to look
رساندن		verb	to deliver
نمودن	نَمودَن	verb	to show, to cause to appear, to exhibit
آراستن		verb	to arrange; to array
فرمودن		verb	to order, to command
خراب کردن		verb	to ruin
آبستن		adj	pregnant
آبستنی		noun	pregnancy
خیس		adj	wet; soaked; drenched
خیس کردن		verb	to wet
خیساندن		verb	to wet
روش		noun	method; manner; way; procedure
متد		noun	method
رمان		noun	novel
ماست		noun	yoghurt
شکری		adj	sugary
لامپ		noun	lamp
شاشیدن		verb	to piss
زیست‌شناس		noun	biologist
بی‌ستاره		adj	starless
سری	سِری	noun	series (of fictional material, etc.)
لوکس		adj	deluxe, de luxe
بیست		num	twenty
بمب		noun	bomb
بمب اتمی		noun	atomic bomb
بخشیدن		verb	to donate, give, grant, bestow, allocate, apportion
شهاب		noun	meteor
شستن	شُستَن	verb	to wash
لبی		adj	labial
ترش		adj	sour, tart (tasting acidic)
لوله		noun	tube
فرودگاه		noun	airport, airdrome, aerodrome
فیزیک		noun	physics
جالب		adj	interesting
زمینی		adj	earthy
برگ		noun	leaf
رگبار		noun	shower (Of intense rain)
گه		noun	shit
ریشو		adj	bearded
گرسنه		adj	hungry
دیپلمات		noun	diplomat
دیپلماسی		noun	diplomacy
فکاهی		adj	humorous
فک		noun	jaw
نماد		noun	symbol
کار کردن		verb	to work
رز		noun	vine
سفره		noun	tablecloth
قفل		noun	lock, padlock
گوز		noun	walnut
گوزیدن		verb	to fart
خورش		noun	stew; khoresh
لانه		noun	home for animals:
موزیک		noun	synonym of موسیقی (musiqi)
پاکت		noun	packet
آزمون		noun	test
خوابیدن		verb	to sleep; to fall asleep
خواب رفتن		verb	to sleep
خواب دیدن		verb	to dream
اشک ریختن		verb	to cry, to weep
افکندن		verb	to throw
پریدن		verb	to fly
گریستن		verb	to cry, to weep
بردن		verb	to bear; to carry; to take
آبتنی		noun	bathing
آبتنی کردن		verb	to bathe
شیرین کردن		verb	to sweeten
کتبی		noun	bookseller
هنوز		adv	still, yet
چی		pron	what?
خواستن		verb	to want, to intend (both of nouns and verbs)
میخ		noun	nail
گرگ		noun	a wolf
رهبر ارکستر		noun	conductor (of an orchestra)
ارکستر		noun	orchestra
آفریدن		verb	to create
انگاشتن		verb	to suppose, to imagine
بستن		verb	to close, to shut
بسکتبال		noun	basketball
پوشیدن		verb	to put on (clothes), to wear
جستن		verb	to jump, leap
رسیدن		verb	to arrive, to reach
شنا کردن		verb	to swim
ساختن		verb	to make
ساختمان		noun	building
سکس		noun	sex
سکسی		adj	sexy
اختری		adj	stellar
چیزی		pron	something
تقوا		noun	virtue
ویروس		noun	virus
ویروسی		adj	viral (relating to a virus)
ویتامین		noun	vitamin
تریاک		noun	antidote
گم کردن		verb	to lose, especially through obliviousness
تجربی		adj	experimental
پرونده		noun	case
مارک		noun	brand
مینا		noun	glaze
مثل		noun	resemblance, similarity
نازی		adj	coy, demure
مارچوبه		noun	asparagus
مرجان		noun	coral
شامپو		noun	shampoo
شاخه		noun	branch (of a tree)
تک‌شاخ		noun	unicorn
بر		prep	on
احساس کردن	اِحساس کَردَن	verb	to feel
تابستانی		adj	summery
زمستانی		adj	wintry
پاییز		noun	autumn
پاییزی		adj	autumnal
فال		noun	omen
سازمان		noun	organisation
سازمانی		adj	organisational
واحه		noun	oasis
کامل کردن		verb	to complete
باده		noun	wine
کاشی		noun	tile
خرده		noun	bit
ثبات		noun	firmness, fixedness, fixity, stability, stableness
کتابچه		noun	booklet
انتخاب کردن		verb	to choose
هاله		noun	halo
چرتکه		noun	abacus
گشنیز		noun	coriander, cilantro
کمپوت		noun	compote
ترخون		noun	tarragon
ارمنی		adj	Armenian
فلافل		noun	falafel
عبا		noun	cloak
بانداژ		noun	bandage
قند		noun	sugar cube
صوفی		adj	Sufi
صوفیه		noun	Sufism
لشکری		adj	military
لنگیدن		verb	to limp
بیسکویت		noun	biscuit
کاتولیک		adj	Catholic
سیمان		noun	cement
کارتن		noun	carton
گیتار		noun	guitar
ژرف		adj	deep
نصف		noun	half
پله		noun	a stair, step
ییلاق		noun	countryside area where people go to escape the summer heat
ظرفی		adj	adverbial
گرسنگی		noun	hunger
وقاحت		noun	flagrancy
یکی		pron	one (The first mentioned of two things or people, as opposed to the other.)
شصت		num	sixty
نود		num	ninety
چهل		num	forty
هفتاد		num	seventy
هشتاد		num	eighty
دویست		num	two hundred
میلیون		num	million
پارک	پارْک	noun	park
پارکینگ		noun	car park (UK), parking lot (North America)
کارتون		noun	cartoon
تیم		noun	team
ویزا		noun	visa
موکت		noun	carpet (fabric used as a complete floor covering)
سیدی		noun	CD
صندلی		noun	chair
رنگی		adj	colorful
عمیق		adj	deep (literal, figurative)
چشیدن		verb	to taste
فرستادن		verb	to send
فرستاده		noun	messenger
ازدواج کردن		verb	to marry
زندانی		noun	prisoner
زندانبان		noun	jailer, gaoler
عصبی		adj	neural
گنج		noun	treasure
بادامک		noun	tonsil
لوزه		noun	tonsil
قرن		noun	century
لات		noun	lout, hooligan
ماندن		verb	to remain, stay
ماندنی		adj	remaining
لاتی		noun	roguishness
پیامبر		noun	prophet, messenger (of God)
ماتیک		noun	lipstick
تفریق		noun	subtraction
آلیاژ		noun	alloy
مغز		noun	brain
صبحانه		noun	breakfast
حاد		adj	sharp
خوشگل		adj	beautiful, handsome, good-looking
خیاطی		noun	dressmaking
خوشگلی		noun	beauty
جودو		noun	judo
سوپ		noun	soup
کتلت		noun	cutlet
رژه		noun	line, queue
است		noun	bone
سلاخی		noun	slaughter
کلان		adj	big, huge, massive
نامیدن		verb	to name
توریست		adj	tourist
تکنولوژی	تِکنولوژی	noun	technology
حاشیه		noun	border, rim, edge
مصدر		noun	infinitive (a grammatical mood)
گوگردی		adj	sulfuric, sulphuric
توریستی		adj	touristy
آوازی		adj	vocal
کهکشان		noun	galaxy
جغرافی		noun	geography
جغرافیا		noun	geography
درام		noun	drama
دف		noun	daf (a Persian frame drum)
شیاف		noun	suppository
نیش		noun	sting, bite
فیزیکی		adj	physical:
توالت		noun	toilet
نهنگ		noun	crocodile or hippopotamus
کلید		noun	key
تراس		noun	terrace
بدرود		intj	goodbye; farewell
بره		noun	lamb (young sheep)
ملت		noun	nation, people
تروریست		adj	terrorist
فنجان	فِنْجان	noun	cup
تحول		noun	change, (new) development
قلبی		adj	cardiac
هنر		noun	art
مستقیم		adj	straight
زان		noun	beech
نوه		noun	grandchild
کودکی		noun	childhood
شیوا		adj	eloquent
تراکتور		noun	tractor
تاکسی		noun	taxi
لالی		noun	muteness
سکو		noun	platform
ادراری		adj	urinary
ساندویچ		noun	sandwich
وزغ		noun	toad
دودل		adj	hesitant
دودلی		noun	hesitation
فرانسوی		noun	French (language)
ایرلندی		adj	Irish
سلتی		adj	Celtic
مثلث		noun	triangle
مثلثی		adj	triangular
اکسیژن		noun	oxygen
کربن		noun	carbon
مس		noun	copper
رادون		noun	radon
فلز		noun	metal
ماساژ		noun	massage
نیتروژن		noun	nitrogen
فسفر		noun	phosphorus
اسبی	اَسبی	adj	equine
اپرا		noun	opera
یواش		adj	slow
تپه		noun	hill
نعش		noun	corpse (human)
فتوا		noun	fatwa (legal opinion, decree or ruling issued by a mufti)
کشتار		noun	slaughter
مسلخ		noun	abattoir
دلار	دُلار	noun	dollar
یورو		noun	euro (the currency unit of the European Monetary Union)
مشترک		adj	common; joint
شماره		noun	number (position of something in a sequence)
چرمی		adj	leather
دودمانی		adj	dynastic
آدم‌برفی		noun	snowman
برفی		adj	snowy
نوم		noun	sleep
سوسیالیسم		noun	socialism
اجتماعی	اِجتِماعی	adj	social
تولید		noun	production
خنک	خُنَک	adj	cool (of temperature), fresh
تصادف		noun	accident, crash
شرع		noun	religious law, sharia
اسید		noun	acid
بارانی		adj	rainy
حریق	حَریق	noun	fire, conflagration
رده		noun	row
قفسه		noun	cupboard
مکعب		adj	cubic
بادبادک		noun	kite (recreational object)
آخوندک		noun	praying mantis
پرسیدن		verb	to ask, inquire
غمگینی		noun	sadness
مختل		adj	disturbed, deranged
مختل کردن		verb	to confuse
بعدی		adj	next, following, subsequent
جهانی		adj	worldwide
چاپ کردن		verb	to print
فعالیت		noun	activity
مسلحانه	مُسَلَّحانِه	adj	armed
دوازده		num	twelve
جامعه‌شناسی		noun	sociology
جامعه‌شناس		noun	sociologist
عدل		noun	justice
زندگی‌نامه		noun	biography
سمینار		noun	seminar
الکترون		noun	electron
فوتون		noun	photon
نوترون		noun	neutron
لک‌لک		noun	stork
آلاله		noun	buttercup
قورباغه		noun	frog
رزرو کردن		verb	to reserve
دی		adv	yester
اسفند		noun	wild rue
آهنگر		noun	blacksmith
حیاتی		adj	relating to life
جنگ سرد		noun	cold war
اقیانوس		noun	ocean
اقیانوسی		adj	oceanic
بیمارستان		noun	hospital; bimaristan
رایج		adj	common, current, prevalent
تیمارستان		noun	asylum
کوهستان		noun	mountain area, the mountains
فرهنگستان		noun	academy
دهستان		noun	rural district made up of villages
آیش		noun	fallow
آتش‌فشان		noun	volcano
گدازه		noun	lava
استخر		noun	pond, pool
زورخانه		noun	"house of strength"
سوختن		verb	to burn, to be burnt
سوخته		adj	burnt
سوختگی		noun	burn
سنبل		noun	hyacinth
یخچال		noun	refrigerator, fridge
یتیم‌خانه		noun	orphanage
تز		noun	thesis (of an argument)
یاد گرفتن		verb	to learn
طول		noun	length (of space)
لالایی		noun	lullaby
بارز		adj	blatant, clear
یخی		adj	icy
برنامه		noun	foreword
گفته		noun	statement
مرز	مَرْز	noun	boundary, border, frontier
کمونیست		adj	communist
سفر کردن		verb	to travel
کفتار		noun	hyena
عدسی		noun	lens
سرعت		noun	speed
لذیذ		adj	delicious, tasty
راه رفتن		verb	to walk
حبل		noun	rope
نوع		noun	type, kind, sort
کیهان		noun	universe
کیهان‌شناسی		noun	cosmology
کیهان‌شناس		noun	cosmologist
کیهانی		adj	universal
اسلاوی		adj	Slavic
