lafz	aeraab	zaban	maani_en
طریقہ	طَرِيقَة	عربی	manner, mode, means
اذن	أَذِنَ	عربی	to give permission, to permit
شمال	شَمَال	عربی	north
عادی	عَادِيّ	عربی	normal, regular, ordinary, usual
واجب	وَاجِب	عربی	necessary, indispensable, unavoidable, essential, inevitable, inescapable, requi
کامل	كَامِل	عربی	complete, full
وقت	وَقْت	عربی	time (as an abstract concept)
سہل	سَهْل	عربی	easy
شاہد	شَاهَدَ	عربی	to see (with one’s own eyes), to view, to inspect, to watch, to observe, to witn
کلمہ	كَلِمَة	عربی	speech, utterance, statement
خیاط	خَيَّاط	عربی	tailor, seamster
مدرسہ	مَدْرَسَة	عربی	school, academy
کرسی	كُرْسِيّ	عربی	chair, seat
مدینہ	مَدِينَة	عربی	town, city
مجنون	مَجْنُون	عربی	mad, crazy, insane, possessed
مفتوح	مَفْتُوح	عربی	open
علی	عَلِيَ	عربی	to be exalted, high
مدیر	مُدِير	عربی	manager, head, chief, director, administrator, headmaster, boss
قلم	قَلَم	عربی	pen, reed pen
ماء	مَاء	عربی	water
خاص	خَاصّ	عربی	special
قمیص	قَمِيص	عربی	a short and usually form-fitting upper-body outer garment; a sleeved top; a shir
وزیر	وَزِير	عربی	minister, cabinet minister
رئیس	رَئِيس	عربی	boss, chief, leader
مہندس	مُهَنْدِس	عربی	geometer
معنی	مَعْنًى	عربی	meaning, import, sense
محمد	مُحَمَّد	عربی	the Islamic prophet Muhammad
قہوہ	قَهْوَة	عربی	coffee (the drink)
ضد	ضِدّ	عربی	opposite, contrast
جہنم	جَهَنَّم	عربی	hell, Gehenna
عجب	عَجَب	عربی	wonderful, marvelous
شہید	شَهِيد	عربی	witness
علم	عِلْم	عربی	knowledge, learning, lore
عالم	عَالَم	عربی	world
دنیا	دُنْيَا	عربی	this mortal life; life in this world
تاج محل	تَاج مَحَل	عربی	Taj Mahal (a monument in Agra, India, constructed between 1631 and 1654, conside
مآل	مَآل	عربی	end, result, outcome, consequence
خمسہ	خَمْسَة	عربی	five
آخر	آخِر	عربی	last, ultimate, utmost, extreme
ادب	أَدَب	عربی	discipline
انتظار	اِنْتِظَار	عربی	waiting
تاریخ	تَارِيخ	عربی	date, time
علاج	عِلَاج	عربی	remedy, cure
استعمال	اِسْتِعْمَال	عربی	use
عشق	عِشْق	عربی	liking with desire (lust), being in love; romantic love (particularly when very 
غلط	غَلَط	عربی	wrong, incorrect, mistaken
غائب	غَائِب	عربی	concealed, hidden, occult
عراق	عِرَاق	عربی	only used in العِرَاق (al-ʕirāq, “Iraq”)
فردوس	فِرْدَوْس	عربی	a group of gardens, Elysium, Eden, heaven, Heaven, paradise
موسم	مَوْسِم	عربی	season
یوحنا	يُوحَنَّا	عربی	Any of the New Testament figures named John
عبری	عِبْرِيّ	عربی	Hebrew, Hebraic
لا	لَا	عربی	not, and not
مہبل	مَهْبِل	عربی	vagina
شطرنج	شِطْرَنْج	عربی	shatranj
نظریہ	نَظَرِيَّة	عربی	theory
نجمہ	نَجْمَة	عربی	star
بیضہ	بَيْضَة	عربی	egg
اللہ اکبر	اللّٰهُ أَكْبَر	عربی	God is greater
قرمز	قِرْمِز	عربی	kermes insect (Kermes ilicis, an insect found on the kermes oak that is used to 
صبح	صُبْح	عربی	the time from sunrise to noon, morning
فلسفہ	فَلْسَفَة	عربی	philosophy
شخص	شَخَّصَ	عربی	to personify, to represent as a person, to represent as an individual
استونیا	إِسْتُونِيَا	عربی	Estonia (a country in northeastern Europe, on the southeastern coast of the Balt
معجزہ	مُعْجِزَة	عربی	miracle
اشبیلیہ	إِشْبِيلِيَة	عربی	Seville (the capital city of Andalusia, Spain)
ابراہیم	إِبْرَاهِيم	عربی	Abraham
لندن	لُنْدُن	عربی	London (the capital city of the United Kingdom; the capital city of England)
زعفران	زَعْفَرَان	عربی	saffron
بابا	بَابَا	عربی	papa, daddy, father
سر	سَر	عربی	head, chief
قلب	قَلْب	عربی	heart (organ)
بلبل	بُلْبُل	عربی	nightingale; bulbul (Muscicapidae fam. et spp., Pycnonotidae fam. et spp. vel si
سحر	سَحَر	عربی	dawn
قرمزی	قِرْمِزِيّ	عربی	crimson, scarlet, vermillion, red
علف	عَلَف	عربی	fodder, provender, grass, hay
صبر	صَبَرَ	عربی	to be patient, to have patience
تبت	تُبَّت	عربی	Tibet (a geographic region in Central Asia, the homeland of the Tibetan people)
لباس	لِبَاس	عربی	clothes, raiment, vestment, dress
شارع	شَارِع	عربی	street
فرش	فَرْش	عربی	carpet, rug
دماغ	دِمَاغ	عربی	brain (control center of the central nervous system)
انقلاب	اِنْقِلَاب	عربی	coup d'état
لبنان	لُبْنَان	عربی	Lebanon (a country in West Asia in the Middle East)
سفر	سَفَر	عربی	departure, journey, travel
عسل	عَسَّلَ	عربی	to produce honey (of bees)
عذاب	عَذَاب	عربی	torture, torment, punishment
شاعر	شَاعِر	عربی	poet
ابد	أَبَد	عربی	eternity, eternal duration (having no end to its existence)
حج	حَجّ	عربی	pilgrimage
بخت	بَخْت	عربی	luck, fortune
حمام	حَمَّام	عربی	a bath, a bathtub
حال	حَال	عربی	condition, state, situation, position, status, circumstance, matter, concern, be
عمل	عَمَل	عربی	action, act, deed
معلم	مُعَلِّم	عربی	teacher, instructor, schoolteacher, tutor, schoolmaster, pedagogue, educator
ساحل	سَاحِل	عربی	coast
شال	شَال	عربی	shawl, scarf, fichu
سماق	سُمَّاق	عربی	sumac
حافظ	حَافِظ	عربی	guard, guardian, keeper, custodian, caretaker
لیبیا	لِيبِيَا	عربی	Libya (a country in North Africa)
باز	بَاز	عربی	hawk
طلاق	طَلَاق	عربی	the annulment of marriage by any means, divorce
انتخاب	اِنْتِخَاب	عربی	election
عرق	عَرَّقَ	عربی	to make sweat, to promote perspiration
شراب	شَرَاب	عربی	drink, beverage
فرض	فَرْض	عربی	duty
داخل	دَاخِلَ	عربی	inside
البانیا	أَلْبَانِيَا	عربی	Albania (a country in Southeastern Europe)
جاسوس	جَاسُوس	عربی	spy, sleuth
طب	طِبّ	عربی	medicine (field of study)
طوفان	طُوفَان	عربی	storm
ذات	ذَات	عربی	being, essence, substance, nature
حسنہ	حَسَنَة	عربی	good deed, benefaction
نور	نُور	عربی	light, ray of light, light beam
ذہن	ذِهْن	عربی	mind
خال	خَال	عربی	beauty spot, birthmark
بندر	بَنْدَر	عربی	port
رب	رَبَّ	عربی	to be master, to be lord
فعل	فِعْل	عربی	activity, action, work
ظرف	ظَرْف	عربی	vessel, container, receptacle
قصاب	قَصَّاب	عربی	butcher, slaughterer
لازم	لَازِم	عربی	necessary, urgent, unavoidable
قبل	قَبْلُ	عربی	previously, formerly, earlier, before
خبر	خِبْر	عربی	knowledge, information
ثابت	ثَابِت	عربی	constant
خارج	خَارِج	عربی	outside, exterior
خام	خَام	عربی	raw, crude, unprocessed
زاہد	زَاهِد	عربی	ascetic
ذبح	ذَبْح	عربی	slaughter, slaughtering
اجر	أَجْر	عربی	wages, salary, pay, hire
قبر	قَبْر	عربی	tomb, grave, sepulcher
معمول	مَعْمُول	عربی	a word whose grammatical state is governed by another word
مظہر	مَظْهَر	عربی	appearance, look
قتل	قَتْل	عربی	killing, manslaughter, homicide, murder
ہدف	هَدَف	عربی	target, object, aim, end
بیدق	بَيْدَق	عربی	pawn
نرد	نَرْد	عربی	dice; game with dice
دعا	دُعَاء	عربی	call, prayer, invocation, supplication
ملاح	مَلَّاح	عربی	mariner, shipman, sailor, helmsman
مشہد	مَشْهَد	عربی	Mashhad (a city in Iran)
مبارز	مُبَارِز	عربی	fighter, wrestler
موضع	مَوْضِع	عربی	position
حرام	حَرَام	عربی	forbidden, interdicted, unlawful, illegitimate, haram
عمان	عُمَان	عربی	Oman (a country in West Asia in the Middle East)
جرم	جُرْم	عربی	crime, sin, wrongdoing
جام	جَام	عربی	cup, bowl
سریر	سَرِير	عربی	bed, bedstead
جنوب	جَنُوب	عربی	south
برق	بَرَقَ	عربی	to produce lightning
رحم	رَحِمَ	عربی	to have mercy (upon), have compassion
جبل	جَبَل	عربی	mountain
فصل	فَصْل	عربی	separation, division, partition
قوس قزح	قَوْس قُزَح	عربی	rainbow
خردل	خَرْدَل	عربی	mustard (plant and condiment)
شہد	شَهْد	عربی	honey especially still in the honeycomb
سمع	سَمْع	عربی	hearing, sense of hearing
ذرہ	ذَرَّة	عربی	tiny particle, speck, mote
سلاح	سِلَاح	عربی	weapon, arm
شے	شَيْء	عربی	thing
معدن	مَعْدِن	عربی	mine, lode, place where a mineral is found
ان شاء اللہ	إِنْ شَاءَ ٱللّٰهُ	عربی	God willing; inshallah, if it is God’s will (literally, “if God has willed [it]”
خاقان	خَاقَان	عربی	khagan
غیر	غَيْر	عربی	other than, different from, unlike
اشتہار	اِشْتِهَار	عربی	glory, fame, éclat, celebrity, repute, renown, reputation, name
دوا	دَوَاء	عربی	remedy, medicine, medication, drug
حیوان	حَيَوَان	عربی	animal, beast
عمر	عُمُر	عربی	life as a period of time, length of life, lifespan, lifetime
لسانیات	لِسَانِيَّات	عربی	linguistics
قافلہ	قَافِلَة	عربی	caravan
عباس	عَبَّاس	عربی	grim, glowering, frowning, stern, scowling, surly
جسد	جَسَد	عربی	body
فہم	فَهْم	عربی	understanding, comprehension
عاشق	عَاشِق	عربی	admirer, lover, adorer
مہاجر	مُهَاجِر	عربی	migrant, immigrant
حنا	حِنَّاء	عربی	henna; the plant (Lawsonia inermis)
آمر	آمِر	عربی	emir/amir, commander
تولد	تَوَلَّدَ	عربی	to be born, to originate
زمرد	زُمُرُّد	عربی	emerald
سراب	سَرَاب	عربی	mirage, fata morgana
غم	غَمّ	عربی	grief, sorrow, chagrin
مسافر	مُسَافِر	عربی	traveller
شروع	شُرُوع	عربی	beginning
ابدا	أَبَدًا	عربی	forever, always
رقص	رَقْص	عربی	dance, dancing
یعنی	يَعْنِي	عربی	in other words, actually, namely, to wit, kind of, somewhat, id est, that is, me
غذا	غِذَاء	عربی	nourishment, sustenance, aliment, nutrition, food
افرین	آفِرِين	عربی	bravo!, well done!
امریکا	أَمْرِيكَا	عربی	America, United States of America (a country in North America; in full, United S
فلم	فِلْم	عربی	film, motion picture
مادہ	مَادَّة	عربی	matter, stuff, material, substance
خیمہ	خَيْمَة	عربی	tent
خنزیر	خِنْزِير	عربی	pig, swine, hog
لعب	لَعِبَ	عربی	to play
مربع	مُرَبَّع	عربی	square, quadrangular piece
اسامہ	أُسَامَة	عربی	lion
موسی	مُوسَى	عربی	Moses
نوح	نُوح	عربی	Noah.
سلسلہ	سِلْسِلَة	عربی	iron chain
الحمد للہ	الْحَمْدُ لِ لّٰهِ	عربی	praise be to God, thank God; alhamdulillah
تقلید	تَقْلِيد	عربی	imitation, copying
حلم	حَلَمَ	عربی	to dream (something) or about [with بِ (bi)] (something) while asleep
کابوس	كَابُوس	عربی	nightmare
نقاش	نَقَّاش	عربی	engraver, inscriber, embosser
قاتل	قَاتِل	عربی	killer, murderer, assassin
مثلا	مَثَلًا	عربی	for example
کوکب	كَوْكَب	عربی	star
نقاب	نِقَاب	عربی	niqab, veil covering the face
جزیرہ	جَزِيرَة	عربی	island
حساب	حِسَاب	عربی	account
عطر	عِطْر	عربی	perfume, scent
تلفظ	تَلَفُّظ	عربی	pronunciation; enunciation; articulation
وردہ	وَرْدَة	عربی	an imitation of a rose used for decoration, such as a rosette or cockade
ارسطو	أَرِسْطُو	عربی	Aristotle
عزیز	عَزِيز	عربی	powerful, mighty
بعل	بَعْل	عربی	Baal
ابن	اِبْن	عربی	son
احترام	اِحْتِرَام	عربی	respect
ظہور	ظُهُور	عربی	rise, emergence
بعد	بَعْدَ	عربی	after
لطفا	لُطْفًا	عربی	kindly, please
اتفاق	اِتِّفَاق	عربی	agreement, union, concord, harmony
مشرق	مَشْرِق	عربی	east, direction where the sun rises
مشغول	مَشْغُول	عربی	busy
روح	رُوح	عربی	spirit (all senses), ghost
بشری	بُشْرَى	عربی	news
جواب	جَوَاب	عربی	answer, reply
شرط	شَرَطَ	عربی	to make a condition, to stipulate
شرک	شِرْك	عربی	polytheism, idolatry
زرافہ	زَرَافَة	عربی	giraffe (mammal)
احتمال	اِحْتِمَال	عربی	possibility, likelihood, chance, eventuality
اسود	أَسْوَد	عربی	black
کاتب	كَاتِب	عربی	writer; author
زنجبیل	زَنْجَبِيل	عربی	ginger
وجود	وُجُود	عربی	existence
مجبور	مَجْبُور	عربی	obliged, compelled, forced
سوال	سُؤَال	عربی	question
فرحان	فَرْحَان	عربی	happy, merry, joyful
حکم	حَكَمَ	عربی	to exercise authority, command, bid, to rule, to reign, to decree
شیطان	شَيْطَان	عربی	Satan, shaitan, the Devil
مخصوص	مَخْصُوص	عربی	private, characteristic
استقبال	اِسْتِقْبَال	عربی	reception
وزن	وَزَنَ	عربی	to weigh (“to determine the weight of an object”)
تاج	تَاج	عربی	crown
خالق	خَالِق	عربی	Creator, Maker (God)
رزق	رِزْق	عربی	daily wage, livelihood, subsistence
ابلیس	إِبْلِيس	عربی	Iblis, Satan; the Devil.
نجم	نَجْم	عربی	celestial body, star, planet, luminary
مستقل	مُسْتَقِلّ	عربی	independent
اصفر	اِصْفَرَّ	عربی	to turn yellow, to yellow
ہارون	هَارُون	عربی	Aaron (prophet)
عرفان	عِرْفَان	عربی	knowledge, knowing, cognition, especially in Sufism
زنا	زِنَاء	عربی	adultery, fornication
دیو	دِيُو	عربی	daeva (a Zoroastrian demon spirit)
زین	زَيْن	عربی	beauty
بدن	بَدَن	عربی	body; figure
منزہ	مُنَزَّه	عربی	immaculate, pure
ہلال	هِلَال	عربی	crescent, crescent moon
مبارک	مُبَارَك	عربی	blessed
اسد	أَسَد	عربی	lion
آخن	آخَن	عربی	Aachen (a city in North Rhine-Westphalia, Germany)
یسوع	يَسُوع	عربی	Jesus of Nazareth
ارتفاع	اِرْتِفَاع	عربی	altitude, height
عیسی	عِيسَى	عربی	Jesus (ʿĪsā), son of Mary, revered as a major prophet in Islam.
برہان	بُرْهَان	عربی	proof, evidence
فارس	فَارِس	عربی	Persia
محمود	مَحْمُود	عربی	praised
معاصر	مُعَاصِر	عربی	contemporary, contemporaneous
طلوع	طُلُوع	عربی	rise of a celestial body; (especially) sunrise
صندوق	صُنْدُوق	عربی	chest, box, trunk, crate
اختلاف	اِخْتِلَاف	عربی	disagreement
خراب	خَرَاب	عربی	ruined, wrecked, destroyed
خان	خَان	عربی	khan, a ruler in Northern Asia
رجا	رَجَا	عربی	to hope (“to want something to happen”)
آرمینیا	أَرْمِينِيَا	عربی	Armenia (a country in Europe and Asia)
نعم	نَعَمْ	عربی	yes
صادق	صَادِق	عربی	telling the truth, truthful, veracious
متی	مَتَّى	عربی	Matthew, one of the Twelve Disciples of Jesus and one of the Four Evangelists
کن	ـكُنَّ	عربی	you, your (feminine plural bound object pronoun)
طبق	طَبَق	عربی	plate (serving dish)
قوی	قَوِيّ	عربی	strong, powerful, mighty
حشرہ	حَشَرَة	عربی	insect
طبیب	طَبِيب	عربی	doctor, physician
جامعہ	جَامِعَة	عربی	university, academy
مصری	مِصْرِيّ	عربی	Egyptian (person)
مریض	مَرِيض	عربی	patient (ill person; person who receives treatment from a doctor)
صفحہ	صَفْحَة	عربی	page
عفو	عَفْو	عربی	pardon, forgiveness, remission of sins, amnesty, absolution
کبیر	كَبِير	عربی	big, large
سطح	سَطْح	عربی	surface
صغیر	صَغِير	عربی	small
فرعون	فِرْعَوْن	عربی	Pharaoh (as a title, especially referring to the Quranic/Biblical antagonist of 
شکر	شُكْر	عربی	thankfulness, gratitude
حدیقہ	حَدِيقَة	عربی	garden (decorative piece of land outside)
سریع	سَرِيع	عربی	fast (capable of moving with speed), quick (moving with speed)
بلا	بَلَاء	عربی	affliction, plague, scourge, bane
حمل	حَمَلَ	عربی	to carry (to transport by lifting), to transport, to convey
یہود	يَهُود	عربی	Jews; Jewry
بیروت	بَيْرُوت	عربی	Beirut (the capital city of Lebanon)
بعلبک	بَعْلَبَكّ	عربی	Baalbek (the capital city of Baalbek-Hermel Governorate, Lebanon)
حد	حَدّ	عربی	limit
شر	شَرَّ	عربی	to be bad, to be evil, to act badly
کیمیا	كِيمِيَاء	عربی	chemistry
زیتون	زَيْتُون	عربی	olive (fruit or tree)
احسن	أَحْسَن	عربی	(loosely) better, best, nicer, nicest, more excellent, most excellent (for examp
وصل	وَصْل	عربی	union; connection
طفل	طِفْل	عربی	child (a minor)
مطعم	مَطْعَم	عربی	restaurant
سمرقند	سَمَرْقَنْد	عربی	Samarkand (a city in eastern Uzbekistan)
اقلیم	إِقْلِيم	عربی	region, climate (geographical area of the earth, particularly a zone of latitude
بین	بَيْن	عربی	interval, distance, space (between two things)
جرح	جَرَحَ	عربی	to wound, to hurt
تعلیم	تَعْلِيم	عربی	teaching, education
جبرائیل	جَبْرَائِيل	عربی	the archangel Gabriel
احمد	أَحْمَدَ	عربی	to show oneself praiseworthy
جلد	جِلْد	عربی	skin, hide
دستور	دُسْتُور	عربی	constitution
اتصال	اِتِّصَال	عربی	union
افق	أُفُق	عربی	horizon
افغانستان	أَفْغَانِسْتَان	عربی	Afghanistan (a landlocked country between Central Asia and South Asia)
مجہول	مَجْهُول	عربی	passive voice
معلوم	مَعْلُوم	عربی	known
تفصیل	تَفْصِيل	عربی	division into chapters, analysis
جیب	جَيَّبَ	عربی	to provide with a pocket
قوم	قَوْم	عربی	people, nation, tribe, folk
محلہ	مَحَلَّة	عربی	way station, stopping place, stop, stopover, encampment
مسقط	مَسْقَط	عربی	Muscat (the capital city of Oman)
دمشق	دِمَشْق	عربی	Damascus (the capital city of Syria; an ancient settlement, the ancient capital 
طرابلس	طَرَابُلُس	عربی	Tripoli (the capital city of Libya)
فواد	فُؤَاد	عربی	heart
سوریہ	سُورِيَّة	عربی	Syria (a country in West Asia in the Middle East)
تقویم	تَقْوِيم	عربی	calendar
یاقوت	يَاقُوت	عربی	ruby
مکہ	مَكَّة	عربی	Mecca (a large city in Saudi Arabia)
کابل	كَابُل	عربی	Kabul (the capital city of Afghanistan)
کوکا کولا	كُوكَا كُولَا	عربی	Coca-Cola
تقسیم	تَقْسِيم	عربی	division
مقام	مَقَام	عربی	place, spot
جوہر	جَوْهَر	عربی	jewel(s)
داؤد	دَاوُد	عربی	David (prophet and king)
سودا	سَوْدَاء	عربی	black bile, as one of the four liquids of ancient humor medical theory
یاسمین	يَاسَمِين	عربی	jasmine
حلب	حَلَب	عربی	Aleppo (the capital city of Aleppo Governorate, Syria)
دجلہ	دِجْلَة	عربی	Tigris (a river in West Asia flowing 1,150 miles east-southeast from the Armenia
ہندی	هِنْدِيّ	عربی	Indian (from India)
جنوبی	جَنُوبِيّ	عربی	southern
سامیہ	سَامِيَة	عربی	a female given name, Samiya, Samia, or Samiyah, masculine equivalent سَامِي (sām
مرو	مَرْو	عربی	Merv, a city in Central Asia
محسن	مُحْسِن	عربی	a male given name, Muhsin
قبول	قَبُول	عربی	acceptance
کوارک	كُوَارْك	عربی	quark
معرکہ	مَعْرَكَة	عربی	battle
صعب	صَعُبَ	عربی	to be hard, difficult
طیب	طَيِّب	عربی	good, wholesome, nice, fine (for example, beneficial, favorable, advantageous; m
نقطہ	نُقْطَة	عربی	dot, point
عدد	عَدَد	عربی	number
مفہوم	مَفْهُوم	عربی	concept; notion; idea
صدیق	صَدِيق	عربی	friend
حول	حَوْل	عربی	power, might
قادر	قَادِر	عربی	powerful
جناح	جَنَاح	عربی	wing (organ of flight)
بغیر	بِغَيْرِ	عربی	without
لبنانی	لُبْنَانِيّ	عربی	Lebanese
انسان	إِنْسَان	عربی	human
غضب	غَضَب	عربی	anger
رضیع	رَضِيع	عربی	baby, infant, suckling
راہب	رَاهِب	عربی	monk
ظفر	ظَفَر	عربی	obtainment, success, victory
شیطانی	شَيْطَانِيّ	عربی	satanic, devilish
جنون	جُنُون	عربی	madness, insanity
غزہ	غَزَّة	عربی	Gaza (a city in the Gaza Strip, Palestine in the Levant; in full, Gaza City)
سلمی	سِلْمِيّ	عربی	peaceful
ثم	ثُمَّ	عربی	then, afterward, subsequently; used to indicate order of time, being later occur
روسی	رُوسِيّ	عربی	Russian
ضعیف	ضَعِيف	عربی	weak
فتنہ	فِتْنَة	عربی	trial
صاف	صَافٍ	عربی	pure, clear, unmixed
امیر	أَمِير	عربی	prince
عید مبارک	عِيد مُبَارَك	عربی	eid mubarak
مریم	مَرْيَم	عربی	a female given name, Maryam, equivalent to English Mary or Miriam, Latin Marīa, 
سمسم	سِمْسِم	عربی	sesame (plant or seed)
کنیسہ	كَنِيسَة	عربی	church (building and organization)
لوبیا	لُوبِيَا	عربی	black-eyed peas (Vigna unguiculata)
ابہام	إِبْهَام	عربی	obscurity, vagueness, ambiguity
اثر	أَثَّرَ	عربی	to influence, to affect, to have an effect on
تعریف	تَعْرِيف	عربی	definition
لوط	لُوط	عربی	Lot, Lut (Abrahamic figure)
اختراع	اِخْتِرَاع	عربی	invention
عادل	عَادِل	عربی	just, fair, equitable
فائدہ	فَائِدَة	عربی	usefulness, profit, advantage, benefit
قصہ	قِصَّة	عربی	story, tale, relation
شجاع	شُجَاع	عربی	brave, courageous, plucky, bold
ناقص	نَاقِص	عربی	imperfect
سعید	سَعِيد	عربی	happy, cheerful, joyous
منبع	مَنْبَع	عربی	source, origin
مخالف	مُخَالِف	عربی	contrary, disagreeing, opposed
ابیض	اِبْيَضَّ	عربی	to turn white, to whiten
اعتراف	اِعْتِرَاف	عربی	confession
موضوع	مَوْضُوع	عربی	topic, subject, theme
شوق	شَوْق	عربی	longing, yearning, missing, verbal noun of شَاقَ (šāqa) (form I)
متعلق	مُتَعَلِّق	عربی	related to, concerning, relevant
ابتدا	اِبْتِدَاء	عربی	beginning
عراقی	عِرَاقِيّ	عربی	Iraqi
ایرانی	إِيرَانِيّ	عربی	Iranian
خوف	خَوْف	عربی	fear
قطار	قِطَار	عربی	row
سیاسی	سِيَاسِيّ	عربی	political
فحش	فَحَشَ	عربی	to be indecent, to be obscene
قریب	قَرِيب	عربی	near, close, adjacent
احتجاج	اِحْتِجَاج	عربی	protest, objection, contention
فخر	فَخْر	عربی	pride, honour, glory
فورا	فَوْرًا	عربی	instantly, immediately
عموما	عُمُومًا	عربی	generally, in general, generally speaking
غسل	غُسْل	عربی	ghusl
ترک	تَرَّكَ	عربی	to Turkify, to make Turkish
خلق	خَلْق	عربی	creation
عہد	عَهْد	عربی	covenant
راجع	رَاجِع	عربی	returning, coming back
نظم	نَظَمَ	عربی	to organize, arrange, put in order
عارف	عَارِف	عربی	knowing
عاطف	عَاطِف	عربی	compassionate
تصور	تَصَوُّر	عربی	imagination
توقع	تَوَقَّعَ	عربی	to expect (something), to look for, to prepare oneself for, to anticipate, to ho
اصلی	أَصْلِيّ	عربی	original, authentic
فضل	فَضْل	عربی	grace, favor (especially when seen as unmerited or unconditional); courtesy
استثنا	اِسْتِثْنَاء	عربی	exception
